trail_id,user_id,venue_category
2013_1726469,78299,Light Rail Station
2013_1562220,69636,Pub
2018_387436,18999,Cupcake Shop
2018_387436,18999,Coffee Shop
2013_1726454,78299,Market
2013_1726454,78299,Light Rail Station
2013_1726454,78299,Beer Garden
2018_2688839,176729,Shopping Mall
2018_2688839,176729,Café
2013_128090,4897,Grocery Store
2013_128090,4897,Pub
2013_1562215,69636,Café
2013_313367,12179,Australian Restaurant
2013_6053259,254443,Café
2013_6053259,254443,Train Station
2018_3352587,272576,Coffee Shop
2018_3352587,272576,Chocolate Shop
2013_5928859,249849,Salon / Barbershop
2018_802862,39618,Train Station
2018_802862,39618,Fast Food Restaurant
2013_3919278,190760,Home (private)
2013_2771463,141001,Home (private)
2013_2771463,141001,Light Rail Station
2013_2771463,141001,Road
2013_2771463,141001,Drugstore
2013_2771463,141001,Shopping Mall
2013_2771463,141001,Home (private)
2018_87965,4092,Airport
2018_87965,4092,Hotel
2018_87965,4092,Racetrack
2018_87965,4092,Club House
2013_5039038,220282,Residential Building (Apartment / Condo)
2013_5039075,220283,Rest Area
2013_4835,170,Park
2013_4853229,214821,Restaurant
2013_4853229,214821,Bar
2013_4029403,193282,Clothing Store
2013_598092,23851,Hotel
2013_4189984,197170,Mexican Restaurant
2013_2395486,116761,College Academic Building
2013_2395486,116761,Café
2013_128087,4897,Pub
2018_1807976,103033,Pub
2013_3511005,181832,Platform
2013_2765336,140577,American Restaurant
2018_2981114,214800,Hospital
2018_2981114,214800,Shopping Mall
2018_2981114,214800,Ramen Restaurant
2013_3160133,168061,Football Stadium
2018_2437531,152049,Cricket Ground
2013_32906,1213,Theater
2013_4700188,210522,Australian Restaurant
2013_5589274,237890,Clothing Store
2018_763656,37603,Train Station
2018_763656,37603,Bakery
2018_763656,37603,Shopping Mall
2018_763656,37603,Supermarket
2018_763656,37603,Department Store
2018_763656,37603,Department Store
2018_763656,37603,Grocery Store
2018_763656,37603,Train Station
2018_763656,37603,Post Office
2018_763656,37603,Shopping Mall
2018_763656,37603,Supermarket
2018_763656,37603,Intersection
2018_763656,37603,Neighborhood
2018_763656,37603,Ice Cream Shop
2018_763656,37603,Thai Restaurant
2018_763656,37603,Coffee Shop
2013_531546,21044,Hospital
2013_531546,21044,Italian Restaurant
2013_183557,7027,Café
2013_183557,7027,Office
2013_2720005,137466,Monument / Landmark
2013_2720005,137466,Café
2013_2720005,137466,Church
2013_4029406,193282,Furniture / Home Store
2013_1756064,79896,Middle Eastern Restaurant
2013_1756064,79896,Department Store
2013_1756064,79896,Coffee Shop
2013_4817774,213799,Skating Rink
2013_58861,2200,Shopping Mall
2013_58861,2200,Electronics Store
2013_58861,2200,Candy Store
2013_3173590,168960,Shopping Mall
2013_1804311,82504,Korean Restaurant
2013_2972191,154647,Clothing Store
2013_901528,37223,Café
2013_901528,37223,Chinese Restaurant
2013_901528,37223,Bakery
2013_901528,37223,Restaurant
2013_901528,37223,Australian Restaurant
2013_3076215,162013,Malay Restaurant
2013_3076215,162013,Ramen Restaurant
2018_1323542,69961,Dessert Shop
2018_1323542,69961,Market
2013_4700191,210522,Italian Restaurant
2013_3059858,160846,Shopping Mall
2013_3259019,175382,Office
2013_3259019,175382,Café
2013_3259019,175382,Shopping Mall
2013_6018122,253147,Casino
2013_116843,4449,Bar
2013_3160136,168061,Train Station
2013_3160136,168061,Coffee Shop
2013_3160136,168061,Football Stadium
2013_3935872,191131,Department Store
2013_3530629,182254,Non-Profit
2013_3530629,182254,Office
2013_2171260,103334,Radio Station
2013_3510980,181832,Train Station
2013_3510980,181832,Racetrack
2013_2204110,105253,Dessert Shop
2013_2204110,105253,Sporting Goods Shop
2013_2204110,105253,Gym
2013_2204110,105253,Concert Hall
2013_3505019,181705,Gym
2018_3067651,227077,Neighborhood
2018_3067651,227077,Café
2018_3067651,227077,Pool Hall
2013_32937,1213,Hardware Store
2013_2496621,123077,Football Stadium
2013_4189976,197170,Shopping Mall
2013_3935848,191131,Snack Place
2013_3935848,191131,Plaza
2013_3935848,191131,Department Store
2013_3935848,191131,Breakfast Spot
2013_5589267,237890,Beach
2018_2848996,196904,Furniture / Home Store
2018_2848996,196904,Shopping Mall
2018_2848996,196904,Department Store
2018_2848996,196904,Food Court
2018_2848996,196904,Big Box Store
2018_2848996,196904,Pharmacy
2018_2848996,196904,Indonesian Restaurant
2013_3726738,186447,Shopping Mall
2018_863261,42854,Health & Beauty Service
2013_3579247,183231,Office
2013_2108046,99654,Mexican Restaurant
2013_3510978,181832,Park
2013_3510978,181832,Grocery Store
2013_144212,5507,Coffee Shop
2013_5928862,249849,Asian Restaurant
2013_3135833,166284,Sandwich Place
2013_5764850,243961,Hotel
2013_1144625,48629,Train Station
2013_1144625,48629,Cricket Ground
2013_3645930,184664,Shopping Mall
2018_1959651,113539,General College & University
2018_1959651,113539,Light Rail Station
2018_1959651,113539,Train Station
2018_1959651,113539,Platform
2013_4904742,216334,Soccer Field
2013_1656190,74509,Bus Station
2013_1656190,74509,Platform
2013_1656190,74509,Train Station
2013_1656190,74509,Tourist Information Center
2013_1556513,69332,Home (private)
2013_1556513,69332,Train Station
2018_3084324,229495,Burger Joint
2013_5077678,221459,Casino
2013_5077678,221459,Pub
2013_2401594,117163,Church
2013_2401594,117163,Thai Restaurant
2013_4923115,216853,Korean Restaurant
2018_1817437,103712,Beer Garden
2013_58857,2200,Liquor Store
2013_58857,2200,Thai Restaurant
2013_6053293,254443,Bar
2013_898378,37090,Train
2013_3135818,166284,Chinese Restaurant
2013_3135818,166284,Donut Shop
2018_2336399,142177,Bar
2018_2336399,142177,Plaza
2018_2336399,142177,Bar
2013_3876260,189802,Gym
2013_3876260,189802,Neighborhood
2013_3876260,189802,Residential Building (Apartment / Condo)
2018_1884220,108043,Beer Bar
2018_1884220,108043,Burger Joint
2013_3726699,186447,Event Space
2013_3726699,186447,Vegetarian / Vegan Restaurant
2013_3726699,186447,Building
2013_3726699,186447,Coffee Shop
2013_1383206,60376,Thai Restaurant
2018_2583848,165675,Café
2018_2583848,165675,Café
2018_2583848,165675,Library
2018_2583848,165675,Historic Site
2013_950084,39364,Assisted Living
2013_3726726,186447,Fast Food Restaurant
2018_1388940,74221,Building
2013_2693700,135713,Café
2013_5919734,249499,Library
2013_2490977,122744,Coffee Shop
2013_2777346,141433,College Academic Building
2013_3636366,184455,Burger Joint
2013_3636366,184455,Indian Restaurant
2013_1556530,69332,Home (private)
2013_113096,4305,Gym
2013_1374654,59918,Bar
2013_1374654,59918,Hotel
2013_5875727,247911,Gas Station
2013_313364,12179,Movie Theater
2013_4189970,197170,Ramen Restaurant
2018_863264,42854,Breakfast Spot
2013_2401595,117163,Clothing Store
2013_2401595,117163,Dessert Shop
2013_2401595,117163,Cupcake Shop
2018_3000319,217275,Coffee Shop
2018_3000319,217275,Japanese Restaurant
2013_1850748,85055,Plaza
2013_986227,41103,Hardware Store
2013_986227,41103,Gym / Fitness Center
2013_3346366,178534,Coffee Shop
2013_3530585,182254,Office
2013_2564501,127414,Coffee Shop
2013_2851283,146317,High School
2013_4988031,218773,Asian Restaurant
2013_4988031,218773,Coffee Shop
2013_4988031,218773,Park
2013_4988031,218773,Museum
2013_4988031,218773,Movie Theater
2013_4988031,218773,Café
2013_361178,14064,Platform
2013_4912537,216546,Rest Area
2013_1550920,69011,Office
2013_699375,28246,Gay Bar
2018_2115402,126001,Airport
2018_2115402,126001,Burger Joint
2018_2115402,126001,Bar
2018_2115402,126001,BBQ Joint
2013_1726451,78299,Light Rail Station
2013_1726451,78299,Light Rail Station
2018_3000295,217275,Monument / Landmark
2018_3000295,217275,Park
2013_2765332,140577,Parking
2013_144476,5517,College Cafeteria
2018_166930,7852,Neighborhood
2018_166930,7852,Neighborhood
2013_334924,13022,Building
2013_334924,13022,University
2013_334924,13022,Residential Building (Apartment / Condo)
2013_950102,39364,Home (private)
2013_950102,39364,Train Station
2013_950102,39364,Coffee Shop
2013_950102,39364,Library
2013_5195425,225066,Café
2013_5195425,225066,Theme Park
2013_5195425,225066,College Administrative Building
2013_3845178,189104,Train Station
2013_3845178,189104,Office
2013_2192274,104537,Neighborhood
2013_950096,39364,Home (private)
2013_950096,39364,Church
2013_950096,39364,Chinese Restaurant
2013_5522665,235646,College Lab
2013_2741743,138904,Bar
2013_6053266,254443,Train Station
2013_6053266,254443,Pub
2013_3511007,181832,Lounge
2013_3511007,181832,Vietnamese Restaurant
2013_3258031,175311,Electronics Store
2013_3258031,175311,Factory
2018_1272797,66276,General College & University
2013_1879198,86615,Medical Center
2013_3428575,180184,Italian Restaurant
2013_3428575,180184,Spa
2013_5860772,247351,Library
2013_5860772,247351,Shopping Mall
2013_5860772,247351,Grocery Store
2018_1959658,113539,Park
2013_1413903,61900,Gym
2013_2282311,109944,Concert Hall
2013_3009103,157226,Bar
2013_3681670,185453,Chinese Restaurant
2013_128110,4897,Hotel
2013_745434,30290,Lounge
2013_737269,29923,Turkish Restaurant
2013_737269,29923,Café
2013_737269,29923,Pub
2013_2919342,151028,Indian Restaurant
2013_5589269,237890,Salon / Barbershop
2013_1656161,74509,Coffee Shop
2013_1656161,74509,Café
2013_1656161,74509,Bridge
2013_1656161,74509,Café
2013_58858,2200,City Hall
2013_58858,2200,Park
2013_58858,2200,Train Station
2013_58858,2200,Zoo
2013_58858,2200,Pub
2013_58858,2200,Train Station
2013_58858,2200,Park
2013_5241650,226516,Convenience Store
2013_5241650,226516,Train Station
2013_989276,41248,Courthouse
2013_986208,41103,Hardware Store
2013_986208,41103,High School
2013_986208,41103,High School
2013_5956657,250881,Lounge
2013_1576072,70306,Dessert Shop
2018_2849011,196904,Train Station
2018_2849011,196904,Train Station
2018_2849011,196904,Train Station
2018_2849011,196904,General Entertainment
2018_2849011,196904,Pharmacy
2018_2849011,196904,Train Station
2018_2849011,196904,Shopping Mall
2018_2849011,196904,Department Store
2018_2849011,196904,Grocery Store
2013_2977951,155059,Café
2013_2977951,155059,Boat or Ferry
2013_2606480,130071,Café
2013_5195396,225066,Train Station
2013_3482751,181248,Housing Development
2013_1822220,83469,Mexican Restaurant
2013_4817787,213799,Field
2018_1817436,103712,Café
2013_1373936,59881,French Restaurant
2013_1373936,59881,Park
2013_2719968,137466,Bus Line
2013_2719968,137466,Fried Chicken Joint
2013_2719968,137466,Residential Building (Apartment / Condo)
2013_2719968,137466,Train Station
2013_2719968,137466,Dessert Shop
2013_699389,28246,General Entertainment
2013_6072370,255163,Office
2013_3031897,158893,Train Station
2013_3031897,158893,Café
2013_3031897,158893,Restaurant
2013_3031897,158893,Platform
2013_4817760,213799,Track
2013_4268213,199102,Community College
2013_3135831,166284,Coffee Shop
2013_3135831,166284,Dumpling Restaurant
2013_3135831,166284,Grocery Store
2013_3726705,186447,Neighborhood
2013_3726705,186447,Neighborhood
2013_6006142,252695,Platform
2013_1785291,81466,Light Rail Station
2013_1785291,81466,Light Rail Station
2013_1785291,81466,University
2013_1785291,81466,College Library
2013_1785291,81466,Shopping Mall
2013_1785291,81466,Fast Food Restaurant
2013_1785291,81466,Department Store
2013_1785291,81466,Electronics Store
2018_3137014,237840,Ice Cream Shop
2018_3137014,237840,Dumpling Restaurant
2013_5887957,248356,Train Station
2013_5887957,248356,Train Station
2013_3349228,178586,Spa
2013_898376,37090,Train Station
2013_898376,37090,Building
2013_114406,4356,Gym
2013_3482718,181248,Train Station
2013_3007253,157106,Clothing Store
2013_3007253,157106,Jewelry Store
2013_3349222,178586,Italian Restaurant
2013_3349222,178586,Shopping Mall
2013_3349222,178586,Steakhouse
2013_1305041,56493,Shopping Mall
2013_1305041,56493,Boutique
2018_1081336,54074,University
2018_1081336,54074,College Library
2018_577551,28553,Medical Center
2013_2771465,141001,Light Rail Station
2013_2771465,141001,University
2013_1576079,70306,Chinese Restaurant
2013_3031929,158893,Train Station
2013_2112835,99954,Café
2013_5406033,231744,River
2013_5406033,231744,Scenic Lookout
2013_5406033,231744,Tennis Court
2013_5406033,231744,Hotel
2013_5406033,231744,Shopping Mall
2013_5406033,231744,Hotel
2013_5406033,231744,Casino
2013_5406033,231744,General Entertainment
2013_3349239,178586,Chinese Restaurant
2013_4349045,201140,College Cafeteria
2013_4349045,201140,College Library
2013_4349045,201140,Train Station
2013_4349045,201140,Thai Restaurant
2013_4349045,201140,Shopping Mall
2013_3579245,183231,Gym
2013_5948751,250574,Train Station
2013_5948751,250574,Coffee Shop
2013_5948751,250574,Plaza
2013_3160142,168061,Ramen Restaurant
2018_3047371,224035,Airport
2018_3047371,224035,Italian Restaurant
2013_788164,32180,Furniture / Home Store
2013_3239828,173846,Zoo
2013_3239828,173846,Zoo
2013_3239828,173846,Zoo
2013_950097,39364,Neighborhood
2013_3037315,159273,Italian Restaurant
2013_2555087,126829,Shopping Mall
2013_2555087,126829,Women's Store
2013_431114,16913,Bus Station
2013_431114,16913,College Classroom
2018_1884198,108043,Whisky Bar
2013_3935839,191131,College Residence Hall
2013_3935839,191131,College Auditorium
2013_3935839,191131,College Arts Building
2013_3935839,191131,College Auditorium
2013_3935839,191131,Asian Restaurant
2013_3935839,191131,Café
2013_1231850,52980,Art Gallery
2013_3031928,158893,Multiplex
2013_3031928,158893,Juice Bar
2013_3031928,158893,Library
2013_2903595,149883,Furniture / Home Store
2013_116857,4449,Shopping Mall
2013_4602090,207793,Café
2013_1105203,46723,Coffee Shop
2013_608645,24334,Bank
2013_2719973,137466,Residential Building (Apartment / Condo)
2013_2719973,137466,Church
2013_2719973,137466,Chinese Restaurant
2013_2903591,149883,Train Station
2013_1907721,88290,Café
2013_2798583,142801,Monument / Landmark
2013_32953,1213,Hardware Store
2013_32953,1213,Gas Station
2013_4923106,216853,Japanese Restaurant
2018_861227,42739,Gym
2018_861227,42739,Shopping Mall
2013_5241652,226516,Shopping Mall
2013_5241652,226516,Coffee Shop
2013_5241652,226516,Light Rail Station
2018_3106180,232949,Gym
2013_430903,16903,Train Station
2013_430903,16903,Café
2013_430903,16903,Residential Building (Apartment / Condo)
2013_116793,4449,Home (private)
2013_2594584,129250,Gym
2013_1264223,54535,Home (private)
2013_4066574,194145,Shopping Mall
2013_766969,31245,University
2013_766969,31245,Pizza Place
2013_5039098,220283,Beach
2013_1763999,80322,Ramen Restaurant
2013_1546741,68791,Library
2018_2356184,144373,Beer Garden
2018_2356184,144373,Asian Restaurant
2013_1546778,68791,University
2018_3047373,224035,University
2018_3047373,224035,Library
2018_3047373,224035,Neighborhood
2013_1105202,46723,Burger Joint
2013_3589725,183438,Sushi Restaurant
2018_2830340,194613,Café
2013_2693717,135714,Grocery Store
2013_1899745,87838,Hotel
2013_1899745,87838,Café
2013_1899745,87838,Art Gallery
2013_1899745,87838,Food Court
2013_3031911,158893,Train Station
2013_3658877,184940,College Administrative Building
2013_3658877,184940,Light Rail Station
2013_3658877,184940,Hotel
2013_429744,16851,Shop & Service
2013_429744,16851,College Academic Building
2013_429744,16851,College Cafeteria
2013_429744,16851,College Quad
2013_32885,1213,Neighborhood
2013_1576071,70306,Residential Building (Apartment / Condo)
2013_440462,17286,Museum
2013_3191509,170301,Middle Eastern Restaurant
2018_2789747,189116,Hardware Store
2013_3731416,186547,Boutique
2013_5029891,220017,Greek Restaurant
2013_5029891,220017,Electronics Store
2013_5029891,220017,Japanese Restaurant
2013_5029891,220017,Grocery Store
2013_2623503,131211,Dim Sum Restaurant
2013_5740675,243103,Office
2013_1726470,78299,Light Rail Station
2013_1822216,83469,Asian Restaurant
2013_5658024,240238,Hospital
2013_5658024,240238,Train Station
2013_2741745,138904,City Hall
2013_2741745,138904,Bar
2013_116804,4449,Shopping Mall
2013_4988030,218773,Japanese Restaurant
2013_2765325,140577,Office
2018_805488,39737,Train Station
2018_805488,39737,Fast Food Restaurant
2018_805488,39737,Beach
2018_3084331,229495,Italian Restaurant
2018_366200,17878,Vietnamese Restaurant
2018_1353723,71943,Street Art
2018_1353723,71943,Animal Shelter
2013_3810372,188297,Shopping Mall
2013_3810372,188297,Café
2013_990057,41283,College Basketball Court
2013_990057,41283,College Basketball Court
2013_990057,41283,Basketball Court
2013_2014449,94215,Cricket Ground
2013_32898,1213,Hardware Store
2018_3137013,237840,Greek Restaurant
2018_3137013,237840,Burger Joint
2013_2919329,151028,Burger Joint
2013_788165,32180,Café
2013_5289410,228016,Train Station
2013_5289410,228016,Train Station
2013_5289410,228016,Japanese Restaurant
2013_5289410,228016,Home (private)
2013_3726762,186447,Home (private)
2013_3726762,186447,Drugstore
2013_3726762,186447,Road
2013_3726762,186447,Trade School
2013_3349214,178586,Park
2013_3349214,178586,Automotive Shop
2013_1472108,64899,Radio Station
2013_2977754,155044,Gym
2013_901548,37223,Coffee Shop
2013_901548,37223,Convention Center
2013_901548,37223,General Entertainment
2018_3336632,270033,Train Station
2013_2720032,137466,Bus Line
2013_2720032,137466,Thai Restaurant
2013_4202588,197477,Train Station
2013_4202588,197477,Burger Joint
2013_1470930,64844,Café
2013_6096151,256048,Shopping Mall
2013_6096151,256048,Malay Restaurant
2013_1413899,61900,University
2013_1413899,61900,Shopping Mall
2013_1413899,61900,Clothing Store
2013_1413899,61900,Cosmetics Shop
2013_1413899,61900,Italian Restaurant
2013_2992593,156099,Hotel
2013_2992593,156099,Coffee Shop
2013_2992593,156099,Convention Center
2013_2992593,156099,Café
2013_2992593,156099,Plaza
2013_2992593,156099,Office
2013_2992593,156099,Chinese Restaurant
2013_2992593,156099,Department Store
2013_2992593,156099,Hotel
2013_3482722,181248,Shopping Mall
2013_4642265,208918,Hotel
2013_4642265,208918,Market
2013_4642265,208918,Light Rail Station
2013_3530594,182254,Metro Station
2013_3876241,189802,Gym
2013_3876241,189802,Building
2013_3876241,189802,Office
2013_3876241,189802,Pizza Place
2013_2851481,146336,High School
2013_3009111,157226,Residential Building (Apartment / Condo)
2018_494066,24336,Shopping Mall
2018_494066,24336,Shopping Mall
2013_5874091,247838,Cricket Ground
2013_809082,33088,Grocery Store
2013_5660203,240319,Government Building
2013_5660203,240319,Coworking Space
2013_5660203,240319,Grocery Store
2013_5660203,240319,Gym
2013_5660203,240319,Pub
2018_577531,28553,Medical Center
2013_3346374,178534,Pub
2013_539659,21375,College Academic Building
2013_1625381,72844,Train Station
2013_1625381,72844,Train Station
2013_2477613,121939,Japanese Restaurant
2013_2477613,121939,Boat or Ferry
2013_1374645,59918,Pub
2018_166980,7852,Airport
2018_166980,7852,Neighborhood
2013_2335699,113143,Temple
2013_3658878,184940,Light Rail Station
2013_3969680,191862,Bagel Shop
2013_855102,35123,Tennis Court
2013_4408674,202636,Thai Restaurant
2018_2099384,124952,Building
2018_2099384,124952,Greek Restaurant
2018_2099384,124952,Hotel
2018_1807958,103033,Bar
2013_135192,5153,Pub
2013_901557,37223,Outdoors & Recreation
2013_5406098,231746,Automotive Shop
2013_3586140,183365,College Residence Hall
2013_3135804,166284,Chinese Restaurant
2013_3135804,166284,Asian Restaurant
2013_3135804,166284,Coffee Shop
2013_6072375,255163,Australian Restaurant
2013_986207,41103,Residential Building (Apartment / Condo)
2013_986207,41103,Diner
2013_986207,41103,Seafood Restaurant
2013_986207,41103,Boat or Ferry
2018_166971,7852,Neighborhood
2018_166971,7852,General College & University
2013_6053312,254443,Café
2013_3876270,189802,Tech Startup
2013_3876270,189802,Café
2013_1749282,79501,Beach
2013_3810364,188297,Train Station
2013_2851480,146336,Casino
2013_3726763,186447,Road
2013_3726763,186447,College Classroom
2013_3726763,186447,Nursery School
2013_5589236,237890,Café
2013_2644076,132480,Café
2013_2644076,132480,Hotel
2018_624841,30918,Liquor Store
2013_2594590,129250,Gym
2018_2521828,158916,Shopping Mall
2013_4700189,210522,Farmers Market
2013_3160140,168061,Football Stadium
2013_1726480,78299,Grocery Store
2013_3876223,189802,Gym
2013_1295097,55973,Vietnamese Restaurant
2013_1295097,55973,Office
2013_1295097,55973,Church
2013_737272,29923,Train Station
2013_2081570,98140,Coffee Shop
2013_2081570,98140,Café
2013_2081570,98140,Dumpling Restaurant
2013_5740678,243103,City Hall
2013_720340,29183,Church
2013_720340,29183,Church
2013_598101,23851,Yoga Studio
2013_5948771,250574,Automotive Shop
2013_5948771,250574,General College & University
2018_1417471,75913,Train Station
2013_3347363,178554,Café
2013_3726745,186447,Grocery Store
2013_3726745,186447,Neighborhood
2013_4058629,193954,Cricket Ground
2013_4058629,193954,Café
2013_4058629,193954,Candy Store
2018_3120559,235188,University
2018_3120559,235188,Market
2018_3120559,235188,College Arts Building
2018_3120559,235188,University
2018_3120559,235188,Library
2013_745416,30290,Gym
2018_3277555,260144,Airport
2013_6053326,254443,Office
2013_4720989,211090,Office
2018_1272791,66276,Gym
2018_1272791,66276,Bagel Shop
2018_1272791,66276,Bar
2013_3506598,181740,Travel Agency
2013_3506598,181740,Tea Room
2013_3506598,181740,Miscellaneous Shop
2013_3102397,163934,Neighborhood
2013_4949091,217598,College Theater
2013_4949091,217598,Japanese Restaurant
2013_5554139,236709,Office
2013_5195405,225066,Café
2013_5195405,225066,Shopping Mall
2013_5195405,225066,Shoe Store
2013_2720014,137466,Bank
2018_577559,28553,Sandwich Place
