trail_id,user_id,venue_category
2013_355887,13883,Office
2013_355887,13883,Café
2013_3679920,185412,Factory
2013_3679920,185412,Lounge
2013_3679920,185412,Historic Site
2013_4448993,203692,Metro Station
2013_4448993,203692,Metro Station
2013_1659290,74660,Housing Development
2013_5390838,231291,Skating Rink
2013_4338218,200855,Cocktail Bar
2013_2104370,99426,Metro Station
2013_5387040,231159,Café
2013_4972366,218287,Other Great Outdoors
2013_4972366,218287,Drugstore
2013_4972366,218287,Road
2013_4972366,218287,Plaza
2013_3618363,184051,University
2013_5932720,250000,General College & University
2013_1729340,78458,Road
2013_1729340,78458,Road
2013_1729340,78458,Coffee Shop
2013_1729340,78458,Road
2013_1729340,78458,Plaza
2013_1729340,78458,Monument / Landmark
2013_1729340,78458,Other Great Outdoors
2013_977290,40680,Plaza
2013_977290,40680,Plaza
2013_977290,40680,Other Great Outdoors
2013_977290,40680,Park
2013_977290,40680,Monument / Landmark
2013_1573011,70143,Drugstore
2013_1573011,70143,Bank
2013_3319526,178001,College Auditorium
2013_3319526,178001,Department Store
2013_3319526,178001,College Academic Building
2013_2723448,137702,Shopping Mall
2013_1099353,46460,Coffee Shop
2013_1099353,46460,Military Base
2013_4531991,205893,Metro Station
2013_6072754,255177,Office
2013_1810115,82833,Cosmetics Shop
2013_4433395,203293,Metro Station
2013_4433395,203293,Metro Station
2013_4433395,203293,Metro Station
2013_2916434,150822,Bagel Shop
2013_3942018,191274,Plaza
2013_5602446,238323,Grocery Store
2013_4439890,203457,Salon / Barbershop
2013_5760739,243821,Fried Chicken Joint
2018_1214877,62074,Park
2013_1716306,77752,Japanese Restaurant
2013_2432263,119086,Doctor's Office
2013_4434565,203322,Office
2013_1766287,80445,Neighborhood
2013_6017291,253111,Other Nightlife
2013_1283740,55429,Park
2013_1283740,55429,Gym / Fitness Center
2013_963425,40027,Shopping Mall
2013_2413781,117965,Italian Restaurant
2013_3425561,180124,School
2013_3977653,192052,Drugstore
2013_3819788,188524,Automotive Shop
2013_5633900,239416,Park
2013_3835931,188879,Café
2013_5657055,240202,Home (private)
2013_5657055,240202,Sushi Restaurant
2013_5657055,240202,Garden
2013_4064773,194105,Building
2013_5873134,247805,Gym / Fitness Center
2013_5873134,247805,Mountain
2013_5873134,247805,Other Great Outdoors
2013_54537,2046,Bank
2013_54537,2046,Home (private)
2013_5344929,229820,Shopping Mall
2018_3052381,224767,Park
2013_2393388,116646,Office
2013_5893669,248560,Park
2013_3768264,187357,University
2013_5550136,236578,Park
2013_2461947,120964,Fast Food Restaurant
2013_2461947,120964,Park
2013_2461947,120964,Coffee Shop
2013_2461947,120964,Monument / Landmark
2013_2461947,120964,Plaza
2013_2596901,129422,Gym / Fitness Center
2013_1338276,58136,Middle School
2013_1338276,58136,Fast Food Restaurant
2013_6086224,255692,Shopping Mall
2013_2216989,106067,Office
2013_2216989,106067,Lingerie Store
2013_2216989,106067,Coffee Shop
2013_3309739,177822,Bakery
2013_3454596,180683,Science Museum
2013_186596,7143,Fast Food Restaurant
2013_5486262,234433,Bus Station
2013_5486262,234433,Bank
2013_5486262,234433,Grocery Store
2013_4014905,192944,Bakery
2013_5038644,220268,Office
2013_780007,31839,Building
2013_4002704,192663,Fast Food Restaurant
2013_689485,27845,University
2013_2392582,116593,Taxi
2013_1737039,78858,University
2013_625044,25049,Medical Center
2013_625044,25049,Bus Station
2013_5055925,220777,General College & University
2013_2156561,102436,Plaza
2013_5049383,220597,Coffee Shop
2013_5049383,220597,Theater
2013_787739,32158,Monument / Landmark
2013_3516605,181964,Car Wash
2013_5195749,225079,Department Store
2013_615884,24672,Shopping Mall
2013_2117833,100251,Gym / Fitness Center
2013_5758387,243728,Office
2013_5758387,243728,Office
2013_3577018,183193,Restaurant
2013_5555493,236760,Ramen Restaurant
2013_1450608,63771,Plaza
2013_888482,36660,Government Building
2013_2152960,102230,Road
2013_339748,13202,Café
2013_108787,4149,Office
2013_108787,4149,University
2013_108787,4149,Building
2013_1465609,64575,Plaza
2013_4088860,194692,Plaza
2013_3501010,181623,Shopping Mall
2013_3501010,181623,Café
2013_5310272,228688,Garden
2013_1857597,85421,Diner
2013_1857597,85421,Department Store
2013_5054325,220736,Metro Station
2013_5054325,220736,Metro Station
2013_5054325,220736,Monument / Landmark
2013_108292,4131,Office
2013_466513,18360,Fast Food Restaurant
2013_5470244,233892,University
2013_1182638,50524,Pub
2013_4603680,207842,Hotel
2013_4603680,207842,Pub
2013_2444678,119828,Coffee Shop
2013_3319659,178005,Clothing Store
2013_3891722,190151,Coffee Shop
2013_3891722,190151,Shopping Mall
2013_750366,30524,Metro Station
2013_750366,30524,Temple
2013_750366,30524,Plaza
2013_216831,8303,Grocery Store
2013_2594104,129214,Shopping Mall
2013_2221205,106320,Italian Restaurant
2013_5029782,220012,High School
2013_5029782,220012,Grocery Store
2013_5029782,220012,Home (private)
2013_5029782,220012,High School
2013_2950387,153145,Monument / Landmark
2013_5334457,229487,College Academic Building
2013_5334457,229487,Housing Development
2013_2916411,150822,Cocktail Bar
2013_2916411,150822,Café
2013_2950381,153145,University
2013_4252550,198705,Asian Restaurant
2013_5180586,224614,Fraternity House
2013_5049563,220603,Nightclub
2013_4801895,213349,Office
2013_1842638,84574,Cocktail Bar
2013_846186,34707,Park
2013_5458303,233502,Metro Station
2013_2327871,112687,Bus Station
2013_5302201,228429,University
2013_5029790,220012,High School
2013_5029790,220012,Home (private)
2013_5029790,220012,Dance Studio
2013_262946,10122,Performing Arts Venue
