trail_id,user_id,venue_category
2013_1757147,79960,Pub
2013_3076897,162068,Bar
2018_2649202,171865,Airport
2013_6077355,255346,Office
2013_6077355,255346,Post Office
2013_1077947,45491,Airport Terminal
2018_3770793,341789,Home (private)
2018_3770793,341789,Train Station
2013_3331287,178239,Home (private)
2013_3784063,187716,Gym
2013_3784063,187716,Tech Startup
2013_1484615,65555,Gym
2013_568694,22593,Shopping Mall
2013_568694,22593,Coffee Shop
2013_1016148,42522,Event Space
2013_702977,28406,Harbor / Marina
2013_5006861,219316,Train Station
2013_4890574,215898,Train Station
2013_614120,24589,Café
2013_1355396,58986,Clothing Store
2018_1806442,102912,Café
2013_6077342,255346,Bar
2013_1948765,90556,Hospital
2013_1948765,90556,Sporting Goods Shop
2013_1948765,90556,Stadium
2013_2852420,146404,Paper / Office Supplies Store
2013_3969667,191862,Building
2013_3309778,177822,Road
2013_3309778,177822,Bridge
2013_3309778,177822,Hotel
2013_3309778,177822,Bowling Alley
2013_3309778,177822,Bus Station
2013_3309778,177822,Bus Station
2013_3309778,177822,Train Station
2013_3309778,177822,Other Great Outdoors
2013_3309778,177822,Bar
2013_3309778,177822,Train Station
2013_3309778,177822,Train
2018_346417,16841,Hostel
2018_346417,16841,Café
2018_346417,16841,Coffee Shop
2018_346417,16841,Park
2018_346417,16841,Monument / Landmark
2018_346417,16841,Church
2018_346417,16841,Train Station
2018_346417,16841,Airport
2018_346417,16841,Airport Terminal
2013_4892453,215969,Train Station
2013_3581590,183281,Medical Center
2013_4173678,196774,Farmers Market
2013_1965476,91455,Platform
2013_1965476,91455,Platform
2013_1965476,91455,Shopping Mall
2013_5879170,248041,Gym
2013_5335395,229510,Movie Theater
2013_4014255,192928,General Entertainment
2013_4014255,192928,Gym
2013_5698737,241647,School
2013_1965482,91455,Platform
2013_1965482,91455,Train Station
2013_3853730,189296,Korean Restaurant
2013_712770,28843,Indonesian Restaurant
2013_4860403,215018,Gas Station
2013_274631,10582,Miscellaneous Shop
2013_274631,10582,Tanning Salon
2018_440632,21560,Train Station
2018_440632,21560,Train Station
2013_3741641,186785,Medical Center
2013_1174590,50117,Mexican Restaurant
2018_410045,20061,Pub
2013_4860401,215018,Home (private)
2018_802875,39618,Train Station
2018_802875,39618,Burger Joint
2013_5660068,240313,Café
2018_1295949,67928,General College & University
2018_1457512,78570,Sushi Restaurant
2013_2350142,113988,Bakery
2013_3164521,168370,Train Station
2018_335516,16296,Gym
2013_4473413,204312,Train Station
2013_4473413,204312,Office
2013_4473413,204312,Train Station
2013_2297104,110804,Airport Terminal
2013_2297104,110804,Australian Restaurant
2013_5211532,225561,Ramen Restaurant
2013_5211532,225561,Platform
2013_1577015,70355,Sports Bar
2013_3309771,177822,Train Station
2013_3309771,177822,Train Station
2013_3309771,177822,Sports Bar
2013_3309771,177822,Train Station
2013_3309771,177822,Residential Building (Apartment / Condo)
2013_3309771,177822,Train Station
2013_3309771,177822,Food & Drink Shop
2013_3309771,177822,Train Station
2018_1074973,53713,Museum
2013_529446,20951,Office
2013_529446,20951,Café
2013_2251190,108028,Thai Restaurant
2013_113099,4305,Cocktail Bar
2013_608127,24309,Liquor Store
2013_1557292,69374,Bus Station
2013_1557292,69374,Music Venue
2013_1557292,69374,Pier
2013_1557292,69374,Shopping Mall
2013_1557292,69374,Dessert Shop
2013_1557292,69374,Electronics Store
2013_3581500,183281,Sushi Restaurant
2013_3581500,183281,Burger Joint
2013_3581500,183281,Shopping Mall
2013_3300966,177665,Parking
2018_437624,21421,Juice Bar
2018_437624,21421,Shopping Mall
2018_451318,22098,Gym / Fitness Center
2013_1884260,86921,Golf Course
2013_2605463,130002,Pier
2013_3309872,177822,Train Station
2018_3601596,313799,Neighborhood
2013_1016062,42522,Bar
2013_3310007,177822,Residential Building (Apartment / Condo)
2013_3310007,177822,Other Great Outdoors
2013_3310007,177822,Food & Drink Shop
2013_3310007,177822,Train Station
2013_3310007,177822,Platform
2013_3310007,177822,Residential Building (Apartment / Condo)
2013_3310007,177822,Train
2013_3310007,177822,Bar
2013_3310007,177822,Train Station
2013_3310007,177822,Platform
2013_5494915,234714,Platform
2013_4860381,215018,Shopping Mall
2013_4860381,215018,Salon / Barbershop
2013_4040918,193543,Italian Restaurant
2013_4040918,193543,Cricket Ground
2013_5299306,228344,Hotel
2013_5299306,228344,Clothing Store
2013_5299306,228344,Bar
2013_5299306,228344,Lounge
2013_919250,37971,Chinese Restaurant
2013_3581577,183281,Doctor's Office
2013_2014568,94220,Bar
2013_4417067,202853,Train Station
2013_4933769,217162,College Gym
2013_4933769,217162,Burger Joint
2018_437571,21421,Airport Terminal
2018_437571,21421,Office
2013_2747241,139273,Shopping Mall
2013_2747241,139273,Flea Market
2013_5842940,246713,Road
2013_3784039,187716,College Technology Building
2013_3969671,191862,Event Space
2018_1479485,80018,Cocktail Bar
2013_3218485,172326,Home (private)
2013_3218485,172326,Bus Station
2013_471781,18580,Burger Joint
2013_148695,5679,Japanese Restaurant
2013_148695,5679,College Lab
2013_3082937,162523,Hotel Bar
2013_3746850,186889,Department Store
2013_3746850,186889,Fast Food Restaurant
2013_4040941,193543,German Restaurant
2013_1965418,91455,Bridge
2013_1748823,79473,Shopping Mall
2013_1748823,79473,Furniture / Home Store
2013_3129523,165789,Café
2013_3129523,165789,Art Museum
2013_3129523,165789,Electronics Store
2013_3863995,189537,Chinese Restaurant
2013_3863995,189537,Malay Restaurant
2013_3863995,189537,Wine Shop
2018_2801313,190575,Café
2018_2801313,190575,Coworking Space
2013_4625634,208444,Korean Restaurant
2013_4517961,205525,Mobile Phone Shop
2013_1463271,64453,Airport Terminal
2013_4329808,200653,Airport Terminal
2013_4329808,200653,BBQ Joint
2018_3042260,223352,Sculpture Garden
2013_4645807,209011,Bar
2013_4645807,209011,Other Nightlife
2013_4645807,209011,Other Nightlife
2013_4645807,209011,Bar
2013_4645807,209011,Bar
2018_2201609,131499,Bar
2018_335589,16296,Gym
2013_2610606,130366,Airport Terminal
2013_2610606,130366,Airport Terminal
2013_2610606,130366,Hotel
2013_2610606,130366,Harbor / Marina
2018_2782348,188281,Market
2018_2782348,188281,Hostel
2013_3352244,178643,Shopping Mall
2013_3352244,178643,Shopping Mall
2018_2755430,184594,Pier
2018_1806399,102912,Restaurant
2018_1806399,102912,Knitting Store
2018_1806399,102912,Scenic Lookout
2018_1806399,102912,Scenic Lookout
2013_5362508,230368,Shopping Mall
2013_5362508,230368,Plaza
2013_5362508,230368,Park
2013_1472100,64899,Bar
2013_2455966,120560,Neighborhood
2013_2455966,120560,Mexican Restaurant
2013_2455966,120560,Pub
2018_2872896,200132,Town
2018_2872896,200132,Pub
2018_2872896,200132,Motel
2018_584180,28852,Dessert Shop
2018_584180,28852,Electronics Store
2013_1762131,80212,Office
2013_1762131,80212,Office
2013_2512469,124121,Thai Restaurant
2013_614037,24589,Shopping Mall
2018_494068,24336,Shopping Mall
2018_494068,24336,Pier
2013_3767800,187348,Sushi Restaurant
2013_3767800,187348,Tea Room
2013_3767800,187348,Cosmetics Shop
2013_3767800,187348,Building
2013_3767800,187348,Bar
2018_2378855,146982,Café
2018_2378855,146982,Neighborhood
2013_3309797,177822,Bus Station
2013_3309797,177822,Bus Line
2013_3309797,177822,Road
2013_3309797,177822,Burger Joint
2013_3309797,177822,Bus Line
2013_3309797,177822,Bus Station
2013_3309797,177822,Train Station
2013_3309797,177822,Bank
2013_3309797,177822,Bar
2013_3309797,177822,Train Station
2013_3309797,177822,Train
2013_3309797,177822,Platform
2013_3309797,177822,Residential Building (Apartment / Condo)
2013_4879351,215571,Harbor / Marina
2013_5296542,228259,Airport Terminal
2013_2363044,114805,Restaurant
2013_3976071,192017,Burger Joint
2013_3767748,187348,General College & University
2013_3767748,187348,Residential Building (Apartment / Condo)
2013_3767748,187348,Cosmetics Shop
2018_1217984,62300,Fish Market
2018_1217984,62300,Shopping Mall
2013_5698744,241647,Café
2013_5698744,241647,Government Building
2013_4290146,199661,Hospital
2013_4336268,200817,Café
2018_787563,38854,High School
2018_787563,38854,General Entertainment
2018_787563,38854,Middle Eastern Restaurant
2013_3075592,161967,Road
2013_3075592,161967,Platform
2013_3075592,161967,Bank
2013_3075592,161967,Road
2013_3075592,161967,Platform
2013_3075592,161967,Road
2013_3075592,161967,Plaza
2013_3218589,172326,Bus Station
2013_386249,15105,Stadium
2013_5612653,238684,Government Building
2013_5612653,238684,Platform
2013_5136430,223273,Other Great Outdoors
2013_5043744,220435,Bar
2013_3352240,178643,Middle Eastern Restaurant
2013_3013688,157553,Train Station
2013_3013688,157553,Shopping Mall
2013_4948122,217575,Shopping Mall
2013_1982335,92433,Shopping Mall
2013_4625633,208444,Café
2013_3180083,169436,Ice Cream Shop
2013_1820011,83355,Boat or Ferry
2013_2029178,95070,Shopping Mall
2013_2104134,99411,Cosmetics Shop
2013_529450,20951,Australian Restaurant
2013_529450,20951,Residential Building (Apartment / Condo)
2013_510743,20205,Home (private)
2013_5362523,230368,Road
2018_2149464,128087,Chinese Restaurant
2013_2434739,119234,Dessert Shop
2013_4964485,218056,Gym
2013_4964485,218056,Chinese Restaurant
2013_4892459,215969,Train Station
2013_4892459,215969,Other Great Outdoors
2013_5589393,237894,Train Station
2013_4605092,207881,Café
2013_4605092,207881,Home (private)
2018_802904,39618,Badminton Court
2018_802904,39618,Gas Station
2013_3210493,171735,Electronics Store
2013_3210493,171735,Shopping Mall
2013_3210493,171735,College Academic Building
2013_1802442,82407,Café
2013_5506325,235094,Coffee Shop
2018_422858,20687,Shopping Mall
2013_4661761,209433,Café
2013_4641537,208892,Fast Food Restaurant
2013_4506391,205195,Park
2013_1662271,74777,Department Store
2013_1662271,74777,Bar
2013_1662271,74777,Electronics Store
2013_1662271,74777,Shopping Mall
2013_3075557,161967,Road
2013_3075557,161967,Platform
2013_3075557,161967,Train Station
2013_673730,27146,Road
2013_2571783,127864,Event Space
2013_2571783,127864,College Library
2013_2571783,127864,Bar
2013_3300928,177665,Gym
2013_3300928,177665,Electronics Store
2013_3300928,177665,Italian Restaurant
2013_3300928,177665,University
2013_4605127,207881,Multiplex
2013_4605127,207881,Thai Restaurant
2013_3235176,173471,Building
2013_4008960,192810,Café
2018_440577,21560,Neighborhood
2018_867140,43054,Bakery
2013_1424543,62437,Malay Restaurant
2013_1453332,63921,Storage Facility
2013_1281396,55325,Japanese Restaurant
2013_1857802,85437,Chinese Restaurant
2013_3976122,192017,Korean Restaurant
2013_3767789,187348,Coffee Shop
2013_4988060,218773,Fried Chicken Joint
2013_510744,20205,Seafood Restaurant
2013_510744,20205,Trail
2013_510744,20205,Church
2013_510744,20205,Playground
2013_510744,20205,Playground
2013_510744,20205,Dog Run
2013_510744,20205,Hospital
2013_510744,20205,Bakery
2013_510744,20205,Pub
2013_3253128,174961,Martial Arts Dojo
2018_437621,21421,Mexican Restaurant
2013_3976127,192017,Café
2013_2983211,155435,Food Court
2013_2983211,155435,School
2013_4473957,204327,Bridge
2013_4473957,204327,Garden
2013_274689,10582,Grocery Store
2018_440594,21560,Train Station
2018_440594,21560,Train Station
2018_440594,21560,Train Station
2018_1838544,105249,Café
2013_3746864,186889,Sushi Restaurant
2013_5243467,226578,Ramen Restaurant
2013_3164522,168370,Platform
2013_3164522,168370,Train Station
2018_2834051,195087,Hotel
2018_2834051,195087,Park
2013_3210474,171735,Market
2013_4596370,207646,French Restaurant
2013_3876896,189816,Platform
2013_3876896,189816,Gym
2018_1311843,69118,Neighborhood
2013_956882,39687,Bar
2013_1533049,68060,Hotel
2013_529698,20964,Gym
2018_1457520,78570,Chinese Restaurant
2013_1965446,91455,Office
2013_3767743,187348,General College & University
2013_3767743,187348,Cosmetics Shop
2018_532235,26220,Thrift / Vintage Store
2013_4890577,215898,Train Station
2018_335565,16296,Gym / Fitness Center
2013_1546691,68788,Mediterranean Restaurant
2013_47087,1774,Neighborhood
2013_2014560,94220,Train Station
2018_532211,26220,School
2013_3309873,177822,Liquor Store
2013_3309873,177822,Bar
2013_3309873,177822,Train Station
2018_2764198,185764,Noodle House
2013_4602080,207793,Shopping Mall
2013_191650,7348,Pet Store
2013_4058658,193954,Pub
2013_2819366,144222,Train Station
2013_2819366,144222,Platform
2013_2819366,144222,Train Station
2013_2819366,144222,Bar
2013_2819366,144222,University
