trail_id,user_id,venue_category
2018_1486556,80480,Wings Joint
2018_1486556,80480,Arcade
2018_3910839,366933,Motorcycle Shop
2018_1115813,55985,Internet Cafe
2018_395517,19379,Train Station
2018_1522744,82522,Train Station
2018_3869864,359123,University
2018_2314914,140267,Bus Station
2018_1448078,77922,Park
2018_661966,32545,Convenience Store
2018_3018037,219737,Farmers Market
2018_3721569,333385,Shopping Mall
2018_2429944,151480,Train Station
2018_601480,29764,Train Station
2018_2109465,125625,Café
2018_3510321,298696,Supermarket
2018_3510321,298696,Ramen Restaurant
2018_1361348,72444,Shopping Mall
2018_3083471,229405,Chinese Restaurant
2018_1453192,78286,Home (private)
2018_1453192,78286,Intersection
2018_2647197,171659,Train Station
2018_488765,24061,Yoshoku Restaurant
2018_2521456,158879,University
2018_580874,28697,Train Station
2018_1767935,100312,Shopping Mall
2018_3339498,270543,Intersection
2018_580024,28664,Electronics Store
2018_1765820,100159,Ramen Restaurant
2018_2046042,121446,Discount Store
2018_2382219,147348,Ramen Restaurant
2018_1963922,113897,Shopping Mall
2018_1115809,55985,Internet Cafe
2018_1619239,88625,Sushi Restaurant
2018_1521514,82458,Shopping Mall
2018_2107521,125506,Supermarket
2018_1004027,50046,Miscellaneous Shop
2018_1004027,50046,Supermarket
2018_501962,24664,Intersection
2018_501962,24664,Convenience Store
2018_501962,24664,Convenience Store
2018_501962,24664,Japanese Restaurant
2018_501962,24664,Japanese Curry Restaurant
2018_907583,45205,Ramen Restaurant
2018_2406161,149534,Train Station
2018_907579,45205,Recycling Facility
2018_907579,45205,Bus Stop
2018_907579,45205,Bus Stop
2018_907579,45205,Bridge
2018_3827519,351466,Thrift / Vintage Store
2018_2308837,139656,Rest Area
2018_1548728,84038,Trade School
2018_1548728,84038,College Cafeteria
2018_1190475,60393,Train Station
2018_1190475,60393,Train Station
2018_1190475,60393,Train Station
2018_1190475,60393,Donut Shop
2018_1190475,60393,Train Station
2018_652007,32129,Shopping Mall
2018_1180434,59777,Chinese Restaurant
2018_1180434,59777,Train Station
2018_596169,29501,Japanese Restaurant
2018_23884,1172,Automotive Shop
2018_2273728,136599,Train Station
2018_1065516,53205,Shopping Mall
2018_2199783,131386,Train Station
2018_2199783,131386,Arcade
2018_3281662,260853,Intersection
2018_2336976,142240,Furniture / Home Store
2018_1062073,53037,Sake Bar
2018_3773297,342180,Italian Restaurant
2018_2163669,129047,Train Station
2018_2308880,139656,Rest Area
2018_2521467,158879,Convenience Store
2018_3433026,286142,Train Station
2018_2179300,130084,Japanese Restaurant
2018_740512,36437,Shopping Mall
2018_2402526,149225,Train Station
2018_803209,39628,Used Bookstore
2018_803209,39628,Japanese Restaurant
2018_803209,39628,Used Bookstore
2018_1767925,100312,Shopping Mall
2018_3654511,322271,Japanese Restaurant
2018_2455169,153366,Bowling Alley
2018_1773218,100677,Furniture / Home Store
2018_1190490,60393,Train Station
2018_1190490,60393,Bakery
2018_1190490,60393,Train Station
2018_1048199,52267,Shrine
2018_1422622,76264,Train Station
2018_1422622,76264,Ramen Restaurant
2018_2061558,122535,Train Station
2018_2270726,136365,Train Station
2018_1422618,76264,Train Station
2018_1422618,76264,Hobby Shop
2018_273513,13226,Spa
2018_334510,16258,Sake Bar
2018_1058961,52894,Italian Restaurant
2018_469680,23045,Supermarket
2018_928535,46308,Ramen Restaurant
2018_2118389,126183,Train Station
2018_2118389,126183,Sake Bar
2018_1357883,72210,Sake Bar
2018_1025009,51100,Convenience Store
2018_3322365,267704,Convenience Store
2018_1199652,60998,Udon Restaurant
2018_1199652,60998,Rest Area
2018_1199652,60998,Convenience Store
2018_1199652,60998,Lake
2018_3936433,371999,Miscellaneous Shop
2018_928520,46308,Wings Joint
2018_928520,46308,Chinese Restaurant
2018_2329879,141519,Rest Area
2018_2329879,141519,Other Nightlife
2018_1925991,110854,Train Station
2018_1925991,110854,Arcade
2018_1621565,88793,Discount Store
2018_1621565,88793,Home (private)
2018_3626421,317733,Gas Station
2018_3626421,317733,Intersection
2018_3626421,317733,Intersection
2018_3626421,317733,Intersection
2018_3626421,317733,Intersection
2018_3626421,317733,Intersection
2018_3626421,317733,Intersection
2018_3626421,317733,Intersection
2018_661967,32545,Ramen Restaurant
2018_653061,32177,Indian Restaurant
2018_1521519,82458,Automotive Shop
2018_1521519,82458,Bookstore
2018_2707939,178798,Okonomiyaki Restaurant
2018_3412974,282939,Indian Restaurant
2018_3855573,356419,Train Station
2018_3855573,356419,Train Station
2018_3087976,229982,Train Station
2018_661994,32545,Ramen Restaurant
2018_2518159,158598,Ramen Restaurant
2018_3303905,264627,Park
2018_2134129,127146,Science Museum
2018_983463,49011,Motorcycle Shop
2018_983463,49011,Motorcycle Shop
2018_3434359,286382,Coffee Shop
2018_500304,24620,Convenience Store
2018_500304,24620,Farmers Market
2018_500304,24620,Farmers Market
2018_2257280,135393,General Entertainment
2018_1195619,60719,University
2018_507014,24917,Furniture / Home Store
2018_1860437,106628,Automotive Shop
2018_3910834,366933,Farmers Market
2018_983460,49011,Motorcycle Shop
2018_1621566,88793,Home (private)
2018_1058982,52894,Fast Food Restaurant
2018_1058982,52894,Sake Bar
2018_31564,1530,Train Station
2018_2296813,138541,Train Station
2018_3098991,231635,Farmers Market
2018_2061542,122535,Train Station
2018_3310423,265711,Bridge
2018_2174516,129773,Convenience Store
2018_984827,49080,Train Station
2018_1542271,83642,Coffee Shop
2018_2192457,130872,Furniture / Home Store
2018_2192457,130872,Farmers Market
2018_1779612,101122,Train Station
2018_514157,25324,Diner
2018_2202076,131525,Field
2018_2134917,127201,Chinese Restaurant
2018_1116163,55999,Ramen Restaurant
2018_501956,24664,Ramen Restaurant
2018_501956,24664,Train Station
2018_3898405,364477,Train Station
2018_3516435,299722,Bowling Alley
2018_3516435,299722,Ramen Restaurant
2018_3516435,299722,Coworking Space
2018_1021203,50912,Bus Station
2018_3649062,321425,Train Station
2018_2118353,126183,Train Station
2018_2187173,130568,Donburi Restaurant
2018_2187173,130568,Furniture / Home Store
2018_2187173,130568,Gas Station
2018_2187173,130568,Hot Spring
2018_2187173,130568,Car Wash
2018_2187173,130568,Soba Restaurant
2018_2294126,138301,Convenience Store
2018_3071143,227592,Lake
2018_499435,24593,Platform
2018_499435,24593,Café
2018_1621491,88787,Bakery
2018_648231,31956,University
2018_845384,41902,Train Station
2018_845384,41902,Train Station
2018_845384,41902,Electronics Store
2018_845384,41902,Train Station
2018_845384,41902,Train Station
2018_2661164,173201,Lake
2018_2661164,173201,Park
2018_3516427,299722,Ice Cream Shop
2018_2192462,130872,Convenience Store
2018_395316,19379,Train Station
2018_395316,19379,Mountain
2018_395316,19379,Convenience Store
2018_395316,19379,Train Station
2018_395316,19379,Internet Cafe
2018_3600646,313674,Train Station
2018_3600646,313674,Arcade
2018_1909179,109617,Ramen Restaurant
2018_1909179,109617,Convenience Store
2018_2604338,167725,University
2018_1816118,103621,Ramen Restaurant
2018_4011677,389512,Motorcycle Shop
2018_4011677,389512,Farmers Market
2018_1003987,50046,Shopping Mall
2018_836556,41390,Bowling Alley
2018_395374,19379,Mountain
2018_395374,19379,Mountain
2018_2320243,140734,Home (private)
2018_3654507,322271,Train Station
2018_1071084,53502,Coffee Shop
2018_1621571,88793,Driving School
2018_1789181,101724,Train Station
2018_1789181,101724,Train Station
2018_2267699,136122,Train Station
2018_2267699,136122,Train Station
2018_3850394,355495,Bakery
2018_55921,2586,Toll Plaza
2018_55921,2586,Intersection
2018_3649052,321425,Train Station
2018_3649052,321425,Food & Drink Shop
2018_601361,29757,Hobby Shop
2018_2545364,161124,Spa
2018_1458394,78634,Convenience Store
2018_1039197,51822,Fast Food Restaurant
2018_580903,28697,University
2018_3807505,348059,Train Station
2018_1767879,100312,Shopping Mall
2018_3820563,350248,Furniture / Home Store
2018_1984793,115855,Furniture / Home Store
2018_1596312,86988,Smoke Shop
2018_830996,41088,Train Station
2018_830996,41088,Train Station
2018_1803912,102725,Gas Station
2018_1803912,102725,Shopping Mall
2018_2087781,124232,Train Station
2018_2087781,124232,Spa
2018_2087781,124232,Ramen Restaurant
2018_3855574,356419,Train Station
2018_3855574,356419,Train Station
2018_3855574,356419,Train Station
2018_3855574,356419,Train Station
2018_3855574,356419,Train Station
2018_3319606,267210,Steakhouse
2018_23888,1172,Motorcycle Shop
2018_23888,1172,Convenience Store
2018_538672,26544,Farmers Market
2018_3807521,348059,Train Station
2018_3807521,348059,Train Station
2018_3807521,348059,Train Station
2018_1860398,106628,Ramen Restaurant
2018_1944792,112312,Sake Bar
2018_1944792,112312,Train Station
2018_3355976,273073,Bowling Alley
2018_1803917,102725,Karaoke Box
2018_1803917,102725,Convenience Store
2018_3738094,336199,Rest Area
2018_3271980,259163,Recycling Facility
2018_1461216,78775,Ramen Restaurant
2018_1461216,78775,Café
2018_872762,43381,Train Station
2018_3416122,283450,Café
2018_3820528,350248,Convenience Store
2018_3820528,350248,Shopping Mall
2018_1023533,51031,Elementary School
2018_1023533,51031,Home (private)
2018_469682,23045,Train Station
2018_1332649,70564,Hospital
2018_3334678,269715,Train Station
2018_3334678,269715,Café
2018_2647177,171659,Grocery Store
2018_2647177,171659,Train Station
2018_2647177,171659,Train Station
2018_1459965,78718,Convenience Store
2018_2620313,169053,Farmers Market
2018_3674427,325605,Ramen Restaurant
2018_3674427,325605,Train Station
2018_3674427,325605,Train Station
2018_23868,1172,Motorcycle Shop
2018_23868,1172,Motorcycle Shop
2018_2412680,150047,Arcade
2018_2202067,131525,Train Station
2018_623063,30824,Trade School
2018_2611818,168305,Convenience Store
2018_2611818,168305,Market
2018_2611818,168305,Café
2018_2611818,168305,Park
2018_1602166,87391,Train Station
2018_3638368,319705,Toll Booth
2018_3638368,319705,Road
2018_3638368,319705,Road
2018_3638368,319705,Japanese Restaurant
2018_398574,19522,Convenience Store
2018_398574,19522,Bakery
2018_398574,19522,Rest Area
2018_1506848,81616,Tourist Information Center
2018_1506848,81616,Military Base
2018_966401,48174,Train Station
2018_4005670,387844,Automotive Shop
2018_4005670,387844,Farmers Market
2018_4005670,387844,Taiwanese Restaurant
2018_845409,41902,Train Station
2018_3635451,319222,Ramen Restaurant
2018_3635451,319222,Convenience Store
2018_3635451,319222,Supermarket
2018_1865746,106968,Clothing Store
2018_831026,41088,Train Station
2018_1767963,100312,Shopping Mall
2018_2160817,128864,Train Station
2018_1860395,106628,Steakhouse
2018_673596,33073,Farmers Market
2018_2023493,119597,Train Station
2018_2173157,129683,Convenience Store
2018_3820529,350248,Shipping Store
2018_1121556,56291,Train Station
2018_1121556,56291,Donburi Restaurant
2018_2219918,132723,Fast Food Restaurant
2018_895850,44616,Park
2018_895850,44616,Shopping Mall
2018_895850,44616,Japanese Restaurant
2018_653008,32177,Shabu-Shabu Restaurant
2018_1053248,52568,Sake Bar
2018_2484283,155648,Train Station
2018_485894,23925,Train Station
2018_2056532,122215,Seafood Restaurant
2018_2056532,122215,Sake Bar
2018_2056532,122215,Japanese Restaurant
2018_1475355,79719,Trade School
2018_2265043,135931,Train Station
2018_2498118,156873,Gas Station
2018_1621590,88793,Shopping Mall
2018_1522739,82522,Convenience Store
2018_3679280,326490,Convenience Store
2018_3679280,326490,Train Station
2018_580884,28697,Train Station
2018_580884,28697,Coffee Shop
2018_661988,32545,Donburi Restaurant
2018_661988,32545,Athletics & Sports
2018_2180935,130188,Supermarket
2018_2180935,130188,Internet Cafe
2018_1539107,83454,Train Station
2018_1025013,51100,Convenience Store
2018_1025013,51100,Mini Golf
2018_3570546,308665,Train Station
2018_3396824,280210,Community Center
2018_2179333,130084,Multiplex
2018_2179333,130084,Bookstore
2018_130190,6088,Farmers Market
2018_3903080,365381,Event Service
2018_1944786,112312,Train Station
2018_1944786,112312,Train Station
2018_1860387,106628,Supermarket
2018_3696786,329348,Driving School
2018_1913339,109901,Wine Bar
2018_748931,36841,Shopping Mall
2018_3303889,264627,Home (private)
2018_3748153,337892,Train Station
2018_1392038,74402,Farmers Market
2018_2455167,153366,Electronics Store
2018_3723679,333755,Farmers Market
2018_2091013,124437,Train Station
2018_3396828,280210,Home (private)
2018_3396828,280210,Rest Area
2018_3396828,280210,Donburi Restaurant
2018_845432,41902,Train Station
2018_1025024,51100,Mini Golf
2018_2402516,149225,Train Station
2018_2402516,149225,Train Station
2018_3295444,263152,Train Station
2018_3295444,263152,Police Station
2018_907548,45205,Bus Station
2018_1065513,53205,Ramen Restaurant
2018_3830693,352013,Convenience Store
2018_3830693,352013,Trade School
2018_906870,45173,Library
2018_2747231,183690,Train Station
2018_2747231,183690,Shopping Mall
2018_596069,29500,City
2018_2429926,151480,Train Station
2018_2429926,151480,Train Station
2018_1357878,72210,Train Station
2018_3606495,314583,Monument / Landmark
2018_3606495,314583,Historic Site
2018_3606495,314583,Road
2018_395470,19379,Train Station
2018_395333,19379,Bridge
2018_3513504,299229,Bus Stop
2018_2265042,135931,Train Station
2018_1909213,109617,Furniture / Home Store
2018_1909213,109617,Liquor Store
2018_2294100,138301,Furniture / Home Store
2018_2400003,149034,Fishing Spot
2018_2308849,139656,Rest Area
2018_2913550,205017,Convenience Store
2018_1453187,78286,Intersection
2018_2707942,178798,Arcade
2018_906883,45173,Electronics Store
2018_906883,45173,Electronics Store
2018_906883,45173,Library
2018_1065532,53205,Italian Restaurant
2018_1065532,53205,Discount Store
2018_2187174,130568,Gas Station
2018_2187174,130568,Rest Area
2018_2187174,130568,Casino
2018_1909378,109621,Shopping Mall
2018_1909378,109621,Udon Restaurant
2018_2160845,128864,Train Station
2018_1065533,53205,Shopping Mall
